wnid,readable_name,accuracy,rank
n04597913,wooden spoon,20.00,1
n04507155,umbrella,24.00,2
n04376876,syringe,26.00,3
n03970156,plunger,26.00,4
n04560804,water jug,28.00,5
n03983396,pop bottle,30.00,6
n03976657,pole,32.00,7
n02795169,barrel,34.00,8
n02788148,bannister,36.00,9
n04067472,reel,38.00,10
n02113799,standard poodle,40.00,11
n02099712,Labrador retriever,42.00,12
n03804744,nail,44.00,13
n02950826,cannon,44.00,14
n02730930,apron,46.00,15
n02906734,broom,46.00,16
n02883205,bow tie,46.00,17
n07615774,ice lolly,46.00,18
n04371430,swimming trunks,46.00,19
n02999410,chain,48.00,20
n07579787,plate,48.00,21
n04008634,projectile,48.00,22
n02791270,barbershop,48.00,23
n03617480,kimono,48.00,24
n02909870,bucket,50.00,25
n01945685,slug,50.00,26
n03770439,miniskirt,50.00,27
n09332890,lakeside,50.00,28
n02124075,Egyptian cat,50.00,29
n02085620,Chihuahua,50.00,30
n02395406,hog,52.00,31
n03255030,dumbbell,52.00,32
n04259630,sombrero,54.00,33
n04023962,punching bag,54.00,34
n04356056,sunglasses,54.00,35
n02988304,CD player,54.00,36
n02403003,ox,54.00,37
n03400231,frying pan,54.00,38
n03424325,gasmask,54.00,39
n02666196,abacus,54.00,40
n02815834,beaker,56.00,41
n01742172,boa constrictor,56.00,42
n02231487,walking stick,56.00,43
n04179913,sewing machine,56.00,44
n04251144,snorkel,56.00,45
n07695742,pretzel,56.00,46
n04265275,space heater,56.00,47
n03980874,poncho,56.00,48
n03814639,neck brace,56.00,49
n02823428,beer bottle,56.00,50
n03763968,military uniform,56.00,51
n01784675,centipede,56.00,52
n03014705,chest,56.00,53
n02977058,cash machine,56.00,54
n03250847,drumstick,56.00,55
n02948072,candle,58.00,56
n01944390,snail,58.00,57
n01983481,American lobster,58.00,58
n03902125,pay-phone,58.00,59
n02963159,cardigan,58.00,60
n02125311,cougar,58.00,61
n02233338,cockroach,58.00,62
n03126707,crane,58.00,63
n03085013,computer keyboard,58.00,64
n04501370,turnstile,60.00,65
n04399382,teddy,60.00,66
n02236044,mantis,60.00,67
n02841315,binoculars,60.00,68
n02808440,bathtub,60.00,69
n02814533,beach wagon,60.00,70
n07871810,meat loaf,60.00,71
n04099969,rocking chair,60.00,72
n03404251,fur coat,60.00,73
n03179701,desk,60.00,74
n03649909,lawn mower,62.00,75
n02123045,tabby,62.00,76
n04070727,refrigerator,62.00,77
n04398044,teapot,62.00,78
n01644900,tailed frog,62.00,79
n09428293,seashore,62.00,80
n03100240,convertible,64.00,81
n07711569,mashed potato,64.00,82
n04456115,torch,64.00,83
n02106662,German shepherd,64.00,84
n03937543,pill bottle,66.00,85
n01641577,bullfrog,66.00,86
n03388043,fountain,66.00,87
n02843684,birdhouse,66.00,88
n03891332,parking meter,66.00,89
n04366367,suspension bridge,66.00,90
n12267677,acorn,66.00,91
n04596742,wok,66.00,92
n07753592,banana,66.00,93
n04532106,vestment,68.00,94
n04311004,steel arch bridge,68.00,95
n07715103,cauliflower,68.00,96
n03042490,cliff dwelling,68.00,97
n03670208,limousine,68.00,98
n03637318,lampshade,68.00,99
n03544143,hourglass,68.00,100
n01770393,scorpion,68.00,101
n02486410,baboon,68.00,102
n02769748,backpack,68.00,103
n02699494,altar,68.00,104
n03992509,potter's wheel,68.00,105
n01698640,American alligator,68.00,106
n02364673,guinea pig,68.00,107
n03838899,oboe,68.00,108
n02226429,grasshopper,70.00,109
n03706229,magnetic compass,70.00,110
n02099601,golden retriever,70.00,111
n01984695,spiny lobster,70.00,112
n03160309,dam,70.00,113
n04254777,sock,70.00,114
n04465501,tractor,70.00,115
n04074963,remote control,70.00,116
n07747607,orange,70.00,117
n07614500,ice cream,72.00,118
n04328186,stopwatch,72.00,119
n04417672,thatch,72.00,120
n07749582,lemon,72.00,121
n01855672,goose,72.00,122
n01774750,tarantula,72.00,123
n02837789,bikini,72.00,124
n03796401,moving van,72.00,125
n09246464,cliff,72.00,126
n03355925,flagpole,74.00,127
n03201208,dining table,74.00,128
n02802426,basketball,74.00,129
n04285008,sports car,74.00,130
n04133789,sandal,74.00,131
n07875152,potpie,74.00,132
n02268443,dragonfly,74.00,133
n02321529,sea cucumber,74.00,134
n02190166,fly,74.00,135
n07734744,mushroom,76.00,136
n02927161,butcher shop,76.00,137
n01917289,brain coral,76.00,138
n02793495,barn,76.00,139
n02129165,lion,76.00,140
n09256479,coral reef,76.00,141
n04540053,volleyball,76.00,142
n03854065,organ,78.00,143
n02480495,orangutan,78.00,144
n07583066,guacamole,78.00,145
n02056570,king penguin,78.00,146
n01910747,jellyfish,78.00,147
n02123394,Persian cat,78.00,148
n03584254,iPod,78.00,149
n02669723,academic gown,78.00,150
n02481823,chimpanzee,78.00,151
n04275548,spider web,78.00,152
n02504458,African elephant,80.00,153
n09193705,alp,80.00,154
n04532670,viaduct,80.00,155
n07873807,pizza,80.00,156
n02437312,Arabian camel,80.00,157
n03599486,jinrikisha,80.00,158
n03733131,maypole,80.00,159
n03444034,go-kart,80.00,160
n02814860,beacon,82.00,161
n01774384,black widow,82.00,162
